index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
1,DEVICES01,Total density per 100 000 population: Health posts,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3010,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,10.33,10.33000,,,,,
2,DEVICES02,Total density per 100 000 population: Health centres,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3011,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,0.28,0.28000,,,,,
3,DEVICES04,Total density per 100 000 population: Provincial hospitals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3013,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,1.27,1.27000,,,,,
4,DEVICES05,Total density per 100 000 population: Specialized hospitals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3014,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,0.33,0.33000,,,,,
5,DEVICES01,Total density per 100 000 population: Health posts,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3010,PUBLISHED,Published,,2013.0,2013,,EUR,Europe,,TUR,2013,2013,Turkey,,10.03,10.03301,,,,,
6,DEVICES02,Total density per 100 000 population: Health centres,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3011,PUBLISHED,Published,,2013.0,2013,,EUR,Europe,,TUR,2013,2013,Turkey,,0.27,0.27091,,,,,
7,DEVICES04,Total density per 100 000 population: Provincial hospitals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3013,PUBLISHED,Published,,2013.0,2013,,EUR,Europe,,TUR,2013,2013,Turkey,,1.23,1.23311,,,,,
8,DEVICES05,Total density per 100 000 population: Specialized hospitals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3014,PUBLISHED,Published,,2013.0,2013,,EUR,Europe,,TUR,2013,2013,Turkey,,0.32,0.31628,,,,,
9,DEVICES00,Total density per 100 000 population: Hospitals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3361,PUBLISHED,Published,,2013.0,2013,,EUR,Europe,,TUR,2013,2013,Turkey,,1.55,1.54939,,,,,Both public sector data and private sector data
